CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346,326.0,1,77183.6,1,1,5,115,Big Spenders
12347,40.0,7,4310.0,5,5,5,555,Champions
12348,76.0,4,1797.24,3,4,4,344,Others
12350,311.0,1,334.4,1,1,2,112,At Risk
12352,73.0,8,2506.04,3,5,5,355,Loyal Customers
12353,205.0,1,89.0,2,1,1,211,Others
12354,233.0,1,1079.4,1,1,4,114,At Risk
12355,96.0,1,459.4,3,1,3,313,Others
12356,128.0,2,2753.08,2,2,5,225,Big Spenders
12357,182.0,1,6207.67,2,1,5,215,Big Spenders
12358,3.0,2,1168.06,5,2,4,524,Recent Customers
12359,9.0,4,6372.58,5,4,5,545,Recent Customers
12360,53.0,3,2662.06,4,3,5,435,Big Spenders
12361,288.0,1,189.9,1,1,1,111,Lost
12362,32.0,9,4870.43,5,5,5,555,Champions
12363,36.0,2,552.0,5,2,3,523,Recent Customers
12364,41.0,4,1313.1,5,4,4,544,Recent Customers
12365,292.0,2,641.38,1,2,3,123,At Risk
12367,212.0,1,168.9,2,1,1,211,Others
12370,52.0,4,3545.69,4,4,5,445,Big Spenders
12371,45.0,1,360.0,4,1,2,412,Others
12372,35.0,3,1298.04,5,3,4,534,Recent Customers
12373,342.0,1,364.6,1,1,2,112,At Risk
12375,304.0,1,230.3,1,1,1,111,Lost
12377,316.0,2,1628.12,1,2,4,124,At Risk
12378,305.0,1,4008.62,1,1,5,115,Big Spenders
12379,82.0,2,852.24,3,2,3,323,Others
12380,57.0,3,1684.42,4,3,4,434,Others
12381,2.0,3,1834.81,5,3,4,534,Recent Customers
12383,9.0,5,1850.56,5,4,4,544,Recent Customers
12384,29.0,2,585.27,5,2,3,523,Recent Customers
12386,192.0,2,401.9,2,2,2,222,Others
12388,76.0,5,2494.26,3,4,5,345,Big Spenders
12390,80.0,1,549.84,3,1,3,313,Others
12393,39.0,4,1582.6,5,4,4,544,Recent Customers
12394,188.0,1,381.08,2,1,2,212,Others
12395,5.0,10,2406.12,5,5,5,555,Champions
